ID,Address Complete,Address First Line,Address Street Number,Address Street,Suburb,Council Area,State,Postcode,Lat,Long,Property Type,Occupancy Type,Development Zone,Land Area,Land Use,Beds,Baths,Sales Price,Year Built,Last Sale Date,Agency
35909550,SAGE STREET PASCOE VALE VIC 3044,SAGE STREET ,,SAGE STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71870124,144.94637583,UNIT,Owner Occupied,Neighbourhood Residential Zone - Schedule 1,20,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,565000.0,1980,2019-06-15,Jellis Craig - Brunswick
12485022,1/11 SAGE STREET PASCOE VALE VIC 3044,1/11 SAGE STREET ,11,SAGE STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71870124,144.94637583,UNIT,Owner Occupied,Neighbourhood Residential Zone - Schedule 1,156,Single Strata Unit/Villa Unit/Townhouse,2.0,2.0,565000.0,1980,2019-06-15,Jellis Craig - Brunswick
12485035,1/3 SEFTON STREET PASCOE VALE VIC 3044,1/3 SEFTON STREET ,3,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72349171,144.92651851,HOUSE,Rented,General Residential Zone - Schedule 1,257,Strata Unit or Flat  (Unspecified),3.0,2.0,225000.0,1985,2000-08-29,
12485027,2/3 SEFTON STREET PASCOE VALE VIC 3044,2/3 SEFTON STREET ,3,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72349171,144.92651851,UNIT,Rented,General Residential Zone - Schedule 1,190,Strata Unit or Flat  (Unspecified),3.0,2.0,300000.0,1985,2004-10-16,
12485045,1/12 SEFTON STREET PASCOE VALE VIC 3044,1/12 SEFTON STREET ,12,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7227972,144.92665352,UNIT,Rented,General Residential Zone - Schedule 1,359,Strata Unit or Flat  (Unspecified),2.0,1.0,365000.0,1935,2006-02-04,Nelson Alexander Real Estate
12485050,2/12 SEFTON STREET PASCOE VALE VIC 3044,2/12 SEFTON STREET ,12,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7227972,144.92665352,UNIT,Rented,General Residential Zone - Schedule 1,190,Strata Unit or Flat  (Unspecified),2.0,1.0,340000.0,2006,2006-02-04,
12485052,3/12 SEFTON STREET PASCOE VALE VIC 3044,3/12 SEFTON STREET ,12,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7227972,144.92665352,HOUSE,Rented,General Residential Zone - Schedule 1,179,Strata Unit or Flat  (Unspecified),2.0,1.0,300000.0,2006,2006-06-27,
12485060,2/15 SEFTON STREET PASCOE VALE VIC 3044,2/15 SEFTON STREET ,15,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72344971,144.92617684,UNIT,Rented,General Residential Zone - Schedule 1,211,Strata Unit or Flat  (Unspecified),3.0,1.0,390000.0,2004,2007-08-11,Patrick Considine Strathmore
12485062,3/15 SEFTON STREET PASCOE VALE VIC 3044,3/15 SEFTON STREET ,15,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72344971,144.92617684,UNIT,Owner Occupied,General Residential Zone - Schedule 1,218,Strata Unit or Flat  (Unspecified),2.0,,285000.0,2004,2002-11-06,
16639480,1/17 SEFTON STREET PASCOE VALE VIC 3044,1/17 SEFTON STREET ,17,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7234287,144.92600601,UNIT,Rented,General Residential Zone - Schedule 1,188,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,469000.0,2013,2013-04-19,
