full_address,council_area,property_type,development_zone_base,land_size_group,suburb,property_count,lot_size
"220 SPENCER STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,486,Large
"33 ROSE LANE, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,482,Large
"60 KAVANAGH STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,479,Large
"151 CITY ROAD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,469,Large
"7 RIVERSIDE QUAY, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,452,Large
"639 LONSDALE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,428,Large
"228 LA TROBE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,418,Large
"100 HARBOUR ESPLANADE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,410,Large
"70 SOUTHBANK BOULEVARD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,403,Large
"22 JANE BELL LANE, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,387,Large
"568 COLLINS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,386,Large
"888 COLLINS STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,small_area,DOCKLANDS,380,Large
"118 KAVANAGH STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,367,Large
"45 CLARKE STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,357,Large
"500 ELIZABETH STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,356,Large
"1 BALSTON STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,354,Large
"18 MT ALEXANDER ROAD, TRAVANCORE",MOONEE VALLEY,UNIT,Commercial 1 Zone,large_area,TRAVANCORE,346,Large
"35 MALCOLM STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,large_area,SOUTH YARRA,345,Large
"183 CITY ROAD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,342,Large
"200 SPENCER STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,340,Large
"80 A'BECKETT STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,334,Large
"8 DALY STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,large_area,SOUTH YARRA,330,Large
"173 CITY ROAD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,325,Large
"241 CITY ROAD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,324,Large
"33 MACKENZIE STREET, MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,medium_area,MELBOURNE,322,Large
"1 ASCOT VALE ROAD, FLEMINGTON",MOONEE VALLEY,HOUSE,General Residential Zone,large_area,FLEMINGTON,321,Large
"442 ELIZABETH STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,321,Large
"199 WILLIAM STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,319,Large
"283 CITY ROAD, SOUTHBANK",MELBOURNE,HOUSE,Capital City Zone,medium_area,SOUTHBANK,317,Large
"800 SWANSTON STREET, CARLTON",MELBOURNE,UNIT,Mixed Use Zone,large_area,CARLTON,316,Large
"8 PEARL RIVER ROAD, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,314,Large
"9 POWER STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,309,Large
"883 COLLINS STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,304,Large
"135 A'BECKETT STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,304,Large
"1 FRESHWATER PLACE, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,303,Large
"889 COLLINS STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,303,Large
"63 WHITEMAN STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,301,Large
"160 VICTORIA STREET, CARLTON",MELBOURNE,UNIT,Comprehensive Development Zone,large_area,CARLTON,301,Large
"618 LONSDALE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,297,Large
"88 KAVANAGH STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,297,Large
"100 KAVANAGH STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,292,Large
"180 CITY ROAD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,282,Large
"39 COVENTRY STREET, SOUTHBANK",MELBOURNE,UNIT,Mixed Use Zone,large_area,SOUTHBANK,282,Large
