full_address,council_area,property_type,development_zone_base,property_count,lot_size
60 KAVANAGH STREET,MELBOURNE,UNIT,Capital City Zone,494,Large
220 SPENCER STREET,MELBOURNE,UNIT,Capital City Zone,486,Large
33 ROSE LANE,MELBOURNE,UNIT,Capital City Zone,482,Large
151 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,469,Large
7 RIVERSIDE QUAY,MELBOURNE,UNIT,Capital City Zone,452,Large
639 LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,428,Large
228 LA TROBE STREET,MELBOURNE,UNIT,Capital City Zone,418,Large
100 HARBOUR ESPLANADE,MELBOURNE,UNIT,Docklands Zone,410,Large
70 SOUTHBANK BOULEVARD,MELBOURNE,UNIT,Capital City Zone,403,Large
22 JANE BELL LANE,MELBOURNE,UNIT,Capital City Zone,387,Large
568 COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,386,Large
888 COLLINS STREET,MELBOURNE,UNIT,Docklands Zone,380,Large
118 KAVANAGH STREET,MELBOURNE,UNIT,Capital City Zone,367,Large
45 CLARKE STREET,MELBOURNE,UNIT,Capital City Zone,357,Large
500 ELIZABETH STREET,MELBOURNE,UNIT,Capital City Zone,356,Large
1 BALSTON STREET,MELBOURNE,UNIT,Capital City Zone,354,Large
18 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,346,Large
35 MALCOLM STREET,STONNINGTON,UNIT,Activity Centre Zone,345,Large
183 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,342,Large
200 SPENCER STREET,MELBOURNE,UNIT,Capital City Zone,340,Large
80 A'BECKETT STREET,MELBOURNE,UNIT,Capital City Zone,334,Large
8 DALY STREET,STONNINGTON,UNIT,Activity Centre Zone,330,Large
173 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,325,Large
241 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,324,Large
33 MACKENZIE STREET,MELBOURNE,UNIT,Mixed Use Zone,322,Large
442 ELIZABETH STREET,MELBOURNE,UNIT,Capital City Zone,321,Large
1 ASCOT VALE ROAD,MOONEE VALLEY,HOUSE,General Residential Zone,321,Large
199 WILLIAM STREET,MELBOURNE,UNIT,Capital City Zone,319,Large
283 CITY ROAD,MELBOURNE,HOUSE,Capital City Zone,317,Large
800 SWANSTON STREET,MELBOURNE,UNIT,Mixed Use Zone,316,Large
8 PEARL RIVER ROAD,MELBOURNE,UNIT,Docklands Zone,314,Large
9 POWER STREET,MELBOURNE,UNIT,Capital City Zone,309,Large
883 COLLINS STREET,MELBOURNE,UNIT,Docklands Zone,304,Large
135 A'BECKETT STREET,MELBOURNE,UNIT,Capital City Zone,304,Large
1 FRESHWATER PLACE,MELBOURNE,UNIT,Capital City Zone,303,Large
889 COLLINS STREET,MELBOURNE,UNIT,Docklands Zone,303,Large
63 WHITEMAN STREET,MELBOURNE,UNIT,Capital City Zone,301,Large
160 VICTORIA STREET,MELBOURNE,UNIT,Comprehensive Development Zone,301,Large
88 KAVANAGH STREET,MELBOURNE,UNIT,Capital City Zone,297,Large
618 LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,297,Large
100 KAVANAGH STREET,MELBOURNE,UNIT,Capital City Zone,292,Large
180 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,282,Large
39 COVENTRY STREET,MELBOURNE,UNIT,Mixed Use Zone,282,Large
3 YARRA STREET,STONNINGTON,HOUSE,Activity Centre Zone,273,Large
31 A'BECKETT STREET,MELBOURNE,UNIT,Capital City Zone,266,Large
22 DORCAS STREET,MELBOURNE,UNIT,Mixed Use Zone,266,Large
673 LA TROBE STREET,MELBOURNE,UNIT,Docklands Zone,264,Large
570 LYGON STREET,MELBOURNE,UNIT,Residential Growth Zone,260,Large
40 HALL STREET,MOONEE VALLEY,UNIT,Activity Centre Zone,259,Large
135 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,259,Large
555 ST KILDA ROAD,MELBOURNE,UNIT,Commercial 1 Zone,258,Large
601 LITTLE LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,258,Large
23 MACKENZIE STREET,MELBOURNE,UNIT,Mixed Use Zone,254,Large
483 SWANSTON STREET,MELBOURNE,UNIT,Capital City Zone,251,Large
105 CLARENDON STREET,MELBOURNE,UNIT,Capital City Zone,250,Large
38 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,245,Large
83 QUEENS BRIDGE STREET,MELBOURNE,UNIT,Capital City Zone,245,Large
152 STURT STREET,MELBOURNE,UNIT,Capital City Zone,244,Large
8 MARMION PLACE,MELBOURNE,UNIT,Docklands Zone,243,Large
770 TOORAK ROAD,BOROONDARA,UNIT,Priority Development Zone,239,Large
65 DUDLEY STREET,MELBOURNE,UNIT,Mixed Use Zone,238,Large
915 COLLINS STREET,MELBOURNE,UNIT,Docklands Zone,238,Large
68 LA TROBE STREET,MELBOURNE,UNIT,Mixed Use Zone,237,Large
231 HARBOUR ESPLANADE,MELBOURNE,UNIT,Docklands Zone,232,Large
318 RUSSELL STREET,MELBOURNE,HOUSE,Capital City Zone,231,Large
8 FRANKLIN STREET,MELBOURNE,UNIT,Capital City Zone,226,Large
285 LA TROBE STREET,MELBOURNE,UNIT,Capital City Zone,225,Large
60 SIDDELEY STREET,MELBOURNE,UNIT,Capital City Zone,225,Large
7 KATHERINE PLACE,MELBOURNE,UNIT,Capital City Zone,224,Large
229 TOORAK ROAD,STONNINGTON,UNIT,Activity Centre Zone,224,Large
462 ELIZABETH STREET,MELBOURNE,UNIT,Capital City Zone,220,Large
250 ELIZABETH STREET,MELBOURNE,UNIT,Capital City Zone,219,Large
620 COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,211,Large
131 PELHAM STREET,MELBOURNE,UNIT,Mixed Use Zone,208,Large
